title,url
祈祝福愿，倾告嵴锋 第三幕 「抑扬的吟咏」,https://baike.mihoyo.com/ys/obc/content/503161/detail?bbs_presentation_style=no_header
祈祝福愿，倾告嵴锋 第二幕 「喑哑的回声」,https://baike.mihoyo.com/ys/obc/content/502324/detail?bbs_presentation_style=no_header
祈祝福愿，倾告嵴锋 第一幕「嵴锋的异响」,https://baike.mihoyo.com/ys/obc/content/502323/detail?bbs_presentation_style=no_header
